Code commune,Nom commune,Code région,Code département,Logements,Établissements,Meilleure estimation des locaux à date,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,T4 2017prop,T1 2018prop,T2 2018prop,T3 2018prop,T4 2018prop,T1 2019prop,T2 2019prop,T3 2019prop,T4 2019prop,T1 2020prop,T2 2020prop,T3 2020prop,Indicateur_AMEL_AMII
02462,Mareuil-en-Dôle,32,02,122.55,2,125,NA,NA,NA,1,NA,0,0,0,0,88,89.6,90.4,90.4,90.4,90.4,90.4,90.4,0
02463,Marfontaine,32,02,46.24,3,49,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02464,Margival,32,02,154,11,174,NA,NA,NA,1,NA,0,0,0,93.68,93.68,94.25,94.83,99.43,100,100,100,100,0
02465,Marigny-en-Orxois,32,02,249,6,255,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02466,Marizy-Sainte-Geneviève,32,02,63,4,72,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,97.22,98.61,100,100,0
02467,Marizy-Saint-Mard,32,02,23.64,3,27,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,85.19,85.19,85.19,100,0
02468,Marle,32,02,1152,67,1385,NA,NA,NA,NA,NA,88.52,91.48,91.91,94.87,95.52,94.8,94.8,94.8,94.8,94.95,94.95,95.02,0
02469,Marly-Gomont,32,02,256.4,13,269,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02470,Martigny,32,02,212,13,225,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02471,Martigny-Courpierre,32,02,67,1,74,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,0,0,51.35,51.35,1
02472,Mauregny-en-Haye,32,02,206,7,213,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02473,Mayot,32,02,91,2,98,NA,NA,NA,1,NA,77.55,77.55,77.55,96.94,96.94,97.96,97.96,98.98,100,100,100,101.02,0
02474,Mennessis,32,02,176,3,190,NA,NA,NA,1,NA,0,0,0,0,0,0,98.95,99.47,100,100,100,100,0
02475,Menneville,32,02,175.06,4,179,NA,NA,NA,1,NA,0,0,0,0,120.11,0,0,0,0,0,0,0,0
02476,Mennevret,32,02,321.56,8,330,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02477,Mercin-et-Vaux,32,02,437.2,38,475,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,91.37,91.58,95.37,0
02478,Merlieux-et-Fouquerolles,32,02,114.42,5,119,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02480,Mesbrecourt-Richecourt,32,02,148,5,153,NA,NA,NA,1,NA,0,0,96.08,96.08,96.08,96.08,96.73,97.39,98.04,98.04,98.04,98.04,0
02481,Mesnil-Saint-Laurent,32,02,195,12,239,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,92.05,92.05,92.05,95.82,1
02482,Meurival,32,02,26.36,1,27,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
