"","COM","n"
"877","02775",5
"878","02777",1
"879","02778",1
"880","02780",4
"881","02781",2
"882","02785",4
"883","02787",1
"884","02788",2
"885","02789",12
"886","02790",2
"887","02792",1
"888","02795",11
"889","02797",1
"890","02798",11
"891","02799",3
"892","02800",3
"893","02801",3
"894","02802",1
"895","02804",1
"896","02805",20
"897","02806",2
"898","02807",2
"899","02808",2
"900","02810",53
"901","02813",2
"902","02815",1
"903","02817",1
"904","02818",4
"905","02820",7
"906","02821",1
"907","02824",3
"908","02826",3
"909","02827",2
"910","02828",2
"911","02829",1
"912","02830",2
"913","02833",1
"914","02834",1
"915","03001",18
"916","03002",2
"917","03003",4
"918","03005",4
"919","03006",2
"920","03008",2
"921","03010",3
"922","03011",4
"923","03012",5
"924","03013",17
"925","03014",1
"926","03015",1
"927","03017",3
"928","03018",2
"929","03019",7
"930","03020",2
"931","03022",8
"932","03023",41
"933","03024",2
"934","03025",3
"935","03026",4
"936","03027",5
"937","03029",2
"938","03030",4
"939","03031",1
"940","03032",1
"941","03033",1
"942","03034",4
"943","03036",17
"944","03037",2
"945","03038",2
"946","03039",2
"947","03040",5
"948","03041",3
"949","03042",4
"950","03043",3
"951","03044",10
"952","03045",7
"953","03046",6
"954","03047",2
"955","03048",9
"956","03050",2
"957","03052",2
"958","03053",6
"959","03054",5
"960","03055",4
"961","03056",1
"962","03057",2
"963","03058",3
"964","03060",6
"965","03061",1
"966","03062",1
"967","03063",4
"968","03064",2
"969","03065",6
"970","03066",1
"971","03068",1
"972","03069",1
"973","03071",1
"974","03072",2
"975","03073",1
"976","03074",3
"977","03076",1
"978","03078",3
"979","03079",2
"980","03080",5
"981","03082",20
"982","03083",1
"983","03084",7
"984","03085",2
"985","03086",1
"986","03087",6
"987","03088",2
"988","03089",1
"989","03090",3
"990","03091",2
"991","03092",3
"992","03093",15
"993","03094",17
"994","03095",57
"995","03096",1
"996","03097",2
"997","03098",20
"998","03099",3
"999","03100",1
"1000","03101",43
"1001","03102",14
"1002","03103",2
"1003","03104",4
"1004","03105",1
"1005","03106",6
"1006","03107",11
"1007","03108",1
"1008","03109",1
"1009","03110",4
"1010","03111",6
"1011","03112",4
"1012","03114",2
"1013","03115",2
"1014","03118",33
"1015","03119",1
"1016","03121",1
"1017","03122",2
"1018","03125",1
"1019","03126",6
"1020","03127",4
"1021","03128",9
"1022","03129",1
"1023","03130",3
"1024","03131",4
"1025","03132",3
"1026","03133",3
"1027","03135",2
"1028","03138",21
"1029","03139",1
"1030","03140",4
"1031","03141",1
"1032","03142",1
"1033","03143",1
"1034","03145",4
"1035","03147",1
"1036","03149",1
"1037","03150",2
"1038","03152",1
"1039","03154",2
"1040","03155",7
"1041","03156",4
"1042","03157",8
"1043","03158",2
"1044","03159",7
"1045","03160",6
"1046","03161",4
"1047","03162",2
"1048","03163",2
"1049","03164",2
"1050","03165",9
"1051","03166",2
"1052","03167",1
"1053","03168",6
"1054","03169",2
"1055","03170",1
"1056","03171",1
"1057","03173",4
"1058","03174",3
"1059","03175",1
"1060","03176",2
"1061","03177",2
"1062","03181",2
"1063","03182",1
"1064","03183",1
"1065","03184",2
"1066","03185",134
"1067","03186",4
"1068","03187",2
"1069","03188",1
"1070","03189",4
"1071","03190",78
"1072","03191",1
"1073","03192",1
"1074","03193",1
"1075","03194",1
"1076","03195",12
"1077","03197",9
"1078","03200",7
"1079","03202",2
"1080","03203",4
"1081","03204",5
"1082","03207",2
"1083","03208",1
"1084","03211",8
"1085","03212",10
"1086","03213",1
"1087","03215",1
"1088","03217",6
"1089","03218",2
"1090","03220",5
"1091","03221",3
"1092","03224",1
"1093","03225",2
"1094","03227",2
"1095","03229",4
"1096","03230",2
"1097","03234",2
"1098","03235",3
"1099","03236",17
"1100","03237",1
"1101","03238",1
"1102","03239",1
"1103","03240",5
"1104","03242",2
"1105","03243",1
"1106","03245",1
"1107","03246",5
"1108","03247",3
"1109","03248",3
"1110","03249",2
"1111","03250",2
"1112","03251",1
"1113","03252",7
"1114","03253",4
"1115","03254",24
"1116","03257",3
"1117","03258",10
"1118","03259",1
"1119","03261",1
"1120","03262",13
"1121","03264",18
"1122","03265",2
"1123","03266",2
"1124","03267",2
"1125","03268",2
"1126","03269",2
"1127","03271",3
"1128","03272",1
"1129","03273",2
"1130","03274",3
"1131","03275",9
"1132","03276",1
"1133","03277",1
"1134","03278",2
"1135","03279",7
"1136","03280",1
"1137","03281",2
"1138","03282",1
"1139","03283",1
"1140","03284",4
"1141","03286",6
"1142","03287",1
"1143","03288",2
"1144","03289",1
"1145","03290",8
"1146","03291",1
"1147","03292",4
"1148","03293",2
"1149","03296",2
"1150","03297",9
"1151","03298",19
"1152","03300",1
"1153","03301",5
"1154","03302",1
"1155","03304",15
"1156","03305",2
"1157","03306",12
"1158","03310",127
"1159","03311",1
"1160","03312",1
"1161","03313",1
"1162","03314",8
"1163","03315",3
"1164","03316",7
"1165","03317",2
"1166","03319",1
"1167","03320",5
"1168","03321",44
"1169","04001",5
"1170","04004",7
"1171","04005",2
"1172","04006",15
"1173","04007",1
"1174","04008",5
"1175","04013",7
"1176","04016",1
"1177","04017",1
"1178","04018",10
"1179","04019",33
"1180","04022",4
"1181","04023",2
"1182","04025",6
"1183","04026",1
"1184","04030",2
"1185","04031",7
"1186","04032",2
"1187","04033",4
"1188","04034",8
"1189","04036",2
"1190","04037",3
"1191","04039",22
"1192","04041",2
"1193","04045",17
"1194","04046",5
"1195","04047",4
"1196","04049",36
"1197","04051",1
"1198","04053",3
"1199","04054",2
"1200","04055",2
"1201","04057",2
"1202","04058",4
"1203","04059",2
"1204","04061",4
"1205","04062",1
"1206","04063",14
"1207","04065",4
"1208","04066",8
"1209","04067",2
"1210","04068",4
"1211","04069",1
"1212","04070",80
"1213","04072",2
"1214","04073",6
"1215","04075",1
"1216","04076",6
"1217","04077",2
"1218","04079",11
"1219","04081",5
"1220","04084",4
"1221","04086",3
"1222","04087",2
"1223","04088",41
"1224","04090",2
"1225","04092",1
"1226","04094",39
"1227","04095",1
"1228","04096",10
"1229","04097",2
"1230","04101",2
"1231","04102",1
"1232","04104",9
"1233","04106",6
"1234","04108",13
"1235","04109",2
"1236","04110",9
"1237","04111",17
"1238","04112",135
"1239","04113",1
"1240","04115",2
"1241","04116",22
"1242","04118",2
"1243","04120",1
"1244","04121",6
"1245","04122",3
"1246","04123",6
"1247","04124",8
"1248","04126",1
"1249","04127",1
"1250","04128",1
"1251","04132",2
"1252","04133",1
"1253","04134",1
"1254","04135",2
"1255","04136",2
"1256","04138",2
"1257","04139",4
"1258","04141",3
"1259","04143",35
"1260","04144",9
"1261","04145",15
"1262","04148",3
"1263","04149",22
"1264","04150",1
"1265","04151",2
"1266","04152",34
"1267","04154",1
"1268","04156",2
"1269","04157",5
"1270","04158",4
"1271","04160",20
"1272","04161",1
"1273","04162",4
"1274","04163",3
"1275","04164",2
"1276","04166",17
"1277","04167",2
"1278","04169",1
"1279","04172",6
"1280","04173",6
"1281","04174",1
"1282","04175",1
"1283","04178",7
"1284","04179",2
"1285","04182",1
"1286","04183",3
"1287","04184",1
"1288","04186",2
"1289","04188",15
"1290","04189",5
"1291","04192",16
"1292","04193",2
"1293","04195",6
"1294","04197",37
"1295","04199",4
"1296","04200",5
"1297","04201",1
"1298","04203",9
"1299","04204",1
"1300","04205",13
"1301","04206",8
"1302","04208",12
"1303","04209",50
"1304","04210",1
"1305","04211",6
"1306","04216",3
"1307","04217",3
"1308","04218",1
"1309","04219",1
"1310","04220",2
"1311","04222",3
"1312","04224",1
"1313","04226",10
"1314","04227",3
"1315","04229",3
"1316","04230",27
"1317","04233",2
"1318","04234",1
"1319","04236",1
"1320","04237",2
"1321","04240",1
"1322","04241",3
"1323","04242",32
"1324","04244",13
"1325","04245",18
"1326","05001",5
"1327","05003",7
"1328","05004",8
"1329","05006",19
"1330","05007",3
"1331","05008",3
"1332","05009",1
"1333","05010",7
"1334","05011",3
"1335","05012",6
"1336","05013",2
"1337","05014",2
"1338","05017",21
"1339","05018",2
"1340","05021",3
"1341","05022",1
"1342","05023",82
"1343","05025",5
"1344","05026",2
"1345","05027",4
"1346","05028",5
"1347","05029",12
"1348","05031",1
"1349","05032",1
"1350","05036",8
"1351","05037",6
"1352","05038",5
"1353","05039",4
"1354","05040",26
"1355","05044",3
"1356","05045",10
"1357","05046",51
"1358","05047",2
"1359","05050",1
"1360","05052",14
"1361","05053",7
"1362","05054",2
"1363","05055",1
"1364","05056",1
"1365","05057",4
"1366","05058",4
"1367","05059",9
"1368","05060",1
"1369","05061",168
"1370","05062",2
"1371","05063",13
"1372","05064",3
"1373","05065",20
"1374","05068",3
"1375","05070",20
"1376","05071",8
"1377","05072",3
"1378","05073",1
"1379","05074",2
"1380","05075",4
"1381","05077",6
"1382","05078",3
"1383","05079",19
"1384","05081",1
"1385","05082",2
"1386","05084",3
"1387","05085",8
"1388","05087",5
"1389","05089",1
"1390","05090",1
"1391","05092",6
"1392","05093",8
"1393","05095",1
"1394","05096",12
"1395","05097",2
"1396","05098",11
"1397","05100",3
"1398","05101",10
"1399","05103",3
"1400","05104",2
"1401","05106",4
"1402","05107",4
"1403","05108",4
"1404","05109",9
"1405","05110",5
"1406","05111",8
"1407","05113",1
"1408","05114",4
"1409","05115",3
"1410","05117",1
"1411","05118",11
"1412","05119",10
"1413","05120",1
"1414","05122",5
"1415","05123",15
"1416","05124",6
"1417","05126",1
"1418","05127",1
"1419","05128",6
"1420","05129",1
"1421","05132",19
"1422","05133",20
"1423","05134",3
"1424","05136",4
"1425","05139",15
"1426","05140",2
"1427","05142",2
"1428","05145",8
"1429","05146",1
"1430","05147",5
"1431","05148",2
"1432","05149",9
"1433","05151",13
"1434","05153",1
"1435","05156",3
"1436","05157",2
"1437","05158",1
"1438","05159",1
"1439","05161",15
"1440","05162",10
"1441","05164",13
"1442","05165",3
"1443","05166",12
"1444","05167",1
"1445","05168",7
"1446","05169",1
"1447","05170",32
"1448","05172",2
"1449","05173",2
"1450","05174",3
"1451","05176",1
"1452","05177",12
"1453","05178",6
"1454","05179",21
"1455","05180",8
"1456","05181",4
"1457","05182",1
"1458","05183",8
"1459","05184",1
"1460","06001",1
"1461","06002",1
"1462","06003",6
"1463","06004",414
"1464","06005",2
"1465","06006",21
"1466","06007",39
"1467","06009",1
"1468","06010",32
"1469","06011",46
"1470","06012",80
"1471","06013",5
"1472","06014",11
"1473","06015",10
"1474","06016",3
"1475","06017",3
"1476","06018",121
"1477","06019",18
"1478","06020",8
"1479","06021",10
"1480","06022",5
"1481","06023",18
"1482","06024",1
"1483","06025",12
"1484","06026",22
"1485","06027",291
"1486","06028",4
"1487","06029",402
"1488","06030",238
"1489","06031",7
"1490","06032",44
"1491","06033",90
"1492","06034",18
"1493","06035",11
"1494","06036",4
"1495","06037",3
"1496","06038",47
"1497","06039",13
"1498","06040",1
"1499","06041",8
"1500","06042",9
"1501","06043",5
"1502","06044",80
"1503","06045",1
"1504","06046",46
"1505","06047",3
"1506","06048",60
"1507","06049",2
"1508","06050",7
"1509","06054",39
"1510","06055",3
"1511","06056",3
"1512","06057",22
"1513","06058",9
"1514","06059",41
"1515","06060",27
"1516","06062",1
"1517","06064",38
"1518","06065",67
"1519","06066",14
"1520","06067",11
"1521","06068",6
"1522","06069",278
"1523","06070",10
"1524","06071",7
"1525","06072",1
"1526","06073",9
"1527","06074",9
"1528","06075",48
"1529","06076",1
"1530","06077",9
"1531","06078",1
"1532","06079",184
"1533","06081",1
"1534","06082",1
"1535","06083",160
"1536","06084",108
"1537","06085",192
"1538","06086",4
"1539","06088",846
"1540","06089",33
"1541","06090",71
"1542","06091",18
"1543","06092",11
"1544","06094",9
"1545","06095",81
"1546","06097",4
"1547","06098",1
"1548","06099",15
"1549","06100",2
"1550","06101",1
"1551","06103",12
"1552","06104",93
"1553","06105",70
"1554","06106",12
"1555","06107",2
"1556","06108",55
"1557","06109",15
"1558","06110",3
"1559","06111",1
"1560","06112",49
"1561","06113",13
"1562","06114",32
"1563","06115",1
"1564","06116",2
"1565","06117",13
"1566","06118",48
"1567","06119",3
"1568","06120",12
"1569","06121",25
"1570","06122",39
"1571","06123",196
"1572","06125",2
"1573","06126",26
"1574","06127",10
"1575","06128",58
"1576","06129",4
"1577","06130",31
"1578","06132",3
"1579","06134",4
"1580","06135",2
"1581","06136",29
"1582","06137",12
"1583","06138",21
"1584","06140",37
"1585","06141",5
"1586","06142",3
"1587","06143",5
"1588","06144",2
"1589","06145",1
"1590","06147",42
"1591","06148",46
"1592","06149",72
"1593","06150",30
"1594","06151",12
